site_id,station_name
USGS-392116106443101,usgs_RuediResSouthShore
USGS-391851106365401,usgs_SellerCreek
USGS-390622106343001,usgs_IndependencePass
USGS-392126107023401,usgs_ArbaneyDitch
USGS-391059107144601,usgs_CokeOvens
USGS-391257107133001,usgs_CrystalRiver
USGS-391845107123201,usgs_EastMesaDitch
USGS-391926107015001,usgs_EastSoprisCreek
USGS-391326106452601,usgs_HunterCreek
USGS-391600106453901,usgs_Larkspur Mountain
USGS-392649107091301,usgs_MissouriHeights
USGS-391014106480001,usgs_NorthStar
USGS-391020107144201,usgs_RedstoneCastle
USGS-392248106580101,usgs_SevenCastles
USGS-392823107131701,usgs_SpringValley
USGS-391336106455801,usgs_VanHornPark
USGS-391958106584401,usgs_WheatleyGulch
